年份,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,大连市,宁波市,厦门市,青岛市,深圳市
2010,105.77%,91.30%,81.48%,106.53%,72.29%,103.02%,77.11%,88.53%,195.87%,83.99%,95.03%,85.50%,93.20%,91.68%,121.32%,119.02%,76.88%,87.93%,132.39%,87.69%,90.19%,102.75%,81.00%,89.62%,80.81%,74.32%,96.26%,95.20%,69.02%,99.90%,97.27%,127.53%,132.53%,112.40%,111.81%,597.57%
2011,114.81%,89.88%,83.65%,97.57%,71.91%,104.08%,73.96%,90.84%,199.82%,81.35%,95.18%,73.37%,96.78%,90.74%,110.07%,115.10%,65.12%,87.41%,126.82%,88.24%,85.91%,100.41%,79.10%,86.83%,77.35%,70.98%,88.81%,92.64%,64.55%,98.09%,92.13%,127.86%,128.27%,112.22%,110.71%,603.29%
2012,123.23%,94.47%,82.64%,86.21%,70.61%,95.14%,72.69%,74.73%,193.81%,80.91%,96.93%,71.22%,98.96%,83.99%,105.51%,98.15%,69.80%,91.02%,118.09%,90.82%,85.10%,101.57%,76.08%,86.88%,75.27%,69.00%,86.26%,85.75%,65.40%,97.06%,89.93%,125.98%,128.12%,114.87%,113.06%,578.65%
2013,122.35%,103.68%,94.45%,86.05%,74.37%,93.12%,76.36%,80.20%,181.52%,85.81%,99.74%,73.42%,92.71%,86.68%,105.12%,103.26%,75.08%,95.44%,108.50%,94.67%,86.79%,106.55%,79.77%,87.79%,77.48%,69.93%,86.47%,85.41%,68.36%,97.05%,91.16%,122.01%,130.14%,219.25%,113.91%,534.73%
2014,108.59%,109.48%,101.51%,84.72%,78.32%,90.92%,79.74%,86.93%,172.33%,90.82%,98.58%,79.42%,91.27%,90.21%,103.49%,107.33%,85.13%,96.64%,101.99%,98.77%,87.93%,114.16%,84.60%,88.32%,78.58%,69.96%,88.89%,85.01%,70.75%,97.08%,93.39%,123.20%,139.07%,227.30%,114.40%,482.72%
2015,102.95%,113.04%,106.19%,85.81%,82.76%,98.01%,88.03%,95.15%,174.85%,96.50%,100.72%,87.93%,91.61%,94.98%,103.36%,113.30%,96.42%,97.00%,100.56%,100.95%,88.40%,121.60%,93.11%,90.12%,79.47%,76.07%,90.21%,86.11%,71.31%,97.99%,94.14%,123.97%,145.67%,243.44%,115.71%,460.55%
2016,102.90%,117.02%,111.22%,86.35%,89.48%,105.61%,96.87%,101.55%,164.24%,101.85%,102.85%,95.32%,95.92%,103.69%,103.89%,120.59%,104.18%,98.33%,103.51%,103.36%,91.60%,124.25%,102.90%,93.71%,82.45%,82.03%,90.20%,87.14%,73.23%,99.57%,95.66%,130.33%,149.69%,254.68%,118.40%,474.07%
2017,105.52%,124.33%,116.77%,92.07%,93.14%,107.50%,107.23%,107.77%,145.55%,108.33%,101.99%,98.07%,100.46%,115.24%,104.77%,131.85%,110.41%,103.43%,107.68%,108.07%,97.08%,125.97%,113.31%,99.87%,86.30%,86.08%,93.59%,90.39%,82.55%,103.29%,97.02%,133.51%,147.43%,253.30%,120.25%,490.73%
2018,110.17%,130.42%,117.40%,93.91%,94.75%,110.64%,105.96%,105.56%,124.86%,114.54%,98.31%,99.10%,104.50%,123.49%,107.04%,140.76%,112.28%,107.88%,111.10%,111.08%,101.23%,133.25%,119.91%,106.60%,91.38%,93.34%,98.10%,91.84%,86.22%,105.57%,100.66%,141.03%,153.23%,250.15%,121.36%,484.91%
2019,103.46%,130.90%,114.08%,93.60%,91.87%,109.81%,99.26%,98.37%,107.03%,118.61%,95.85%,98.24%,109.12%,122.90%,111.80%,144.97%,112.53%,110.59%,113.86%,112.09%,103.81%,137.74%,122.47%,112.67%,96.33%,96.17%,103.18%,89.78%,88.09%,103.56%,104.38%,141.90%,158.37%,246.08%,124.85%,436.45%
2020,95.26%,131.46%,113.52%,93.59%,90.72%,111.02%,96.07%,93.57%,98.66%,122.16%,97.84%,98.99%,113.10%,119.55%,120.15%,149.03%,114.12%,113.10%,117.76%,112.72%,106.05%,135.04%,123.51%,119.83%,101.33%,98.87%,106.50%,89.34%,88.71%,103.08%,108.85%,138.07%,161.93%,237.01%,130.45%,402.13%
2021,86.09%,131.84%,116.03%,94.86%,90.92%,107.74%,97.28%,89.78%,94.89%,123.76%,99.69%,97.66%,114.58%,114.30%,123.80%,154.16%,115.98%,113.49%,121.94%,115.99%,108.69%,127.64%,123.87%,130.30%,105.39%,105.35%,111.76%,90.00%,92.20%,103.77%,112.66%,134.99%,163.06%,230.31%,138.36%,382.65%
