年份,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,大连市,宁波市,厦门市,青岛市,深圳市
2022,100.84%,107.63%,88.3%,91.06%,97.53%,97.38%,82.61%,79.35%,92.79%,98.99%,84.64%,83.81%,81.18%,77.63%,86.29%,92.88%,81.88%,88.61%,86.49%,102.85%,89.87%,89.69%,93.17%,109.81%,103.6%,95.95%,120.19%,113.24%,85.35%,93.23%,81.43%,96.85%,178.22%,152.68%,129.71%,189.78%
2023,102.7%,109.44%,84.82%,90.47%,100.56%,97.38%,82.61%,78.32%,92.74%,98.99%,81.77%,81.1%,74.18%,72.09%,90.08%,83.74%,81.88%,89.26%,78.02%,94.46%,88.15%,87.41%,93.17%,114.09%,106.05%,95.21%,126.72%,119.04%,83.11%,96.54%,70.33%,103.27%,177.39%,160.91%,138.04%,201.61%
2024,104.55%,111.25%,82.5%,90.25%,103.6%,97.38%,82.61%,81.83%,92.69%,98.99%,78.87%,78.39%,66.45%,66.53%,93.87%,73.62%,81.88%,89.72%,65.8%,88.62%,86.43%,85.13%,93.17%,118.37%,110.31%,94.47%,128.69%,124.84%,80.87%,99.85%,59.23%,102.11%,176.56%,169.68%,146.37%,215.11%
2025,106.41%,113.06%,80.13%,89.84%,106.64%,97.38%,82.61%,81.42%,92.64%,98.99%,75.99%,75.68%,57.64%,60.98%,97.66%,59.3%,81.88%,90.92%,56.14%,81.94%,84.71%,82.85%,93.17%,122.65%,114.82%,93.73%,133.58%,130.64%,78.63%,103.16%,48.13%,107.06%,175.73%,176.88%,154.7%,227.62%
2026,108.27%,114.87%,75.61%,89.54%,109.67%,97.38%,82.61%,84.41%,92.59%,98.99%,73.09%,72.97%,47.95%,55.43%,101.45%,46.1%,81.88%,91.56%,44.72%,70.18%,82.99%,80.57%,93.17%,126.93%,117.97%,92.99%,136.59%,136.44%,76.39%,106.47%,37.03%,107.09%,174.9%,180.53%,163.03%,237.87%
2027,110.13%,116.68%,72.22%,89.18%,112.71%,97.38%,82.61%,84.46%,92.54%,98.99%,70.2%,70.26%,37.26%,49.88%,105.24%,29.93%,81.88%,92.26%,34.51%,62.02%,81.27%,78.29%,93.17%,131.22%,122.51%,92.25%,140.81%,142.24%,74.15%,109.79%,25.93%,111.07%,174.07%,179.75%,171.36%,245.47%
2028,111.98%,118.49%,67.32%,88.84%,115.74%,97.38%,82.61%,87.04%,92.49%,98.99%,67.31%,67.55%,25.64%,44.33%,109.03%,11.75%,81.88%,93.25%,23.48%,49.21%,79.55%,76.01%,93.17%,135.5%,126.29%,91.51%,144.26%,148.04%,71.91%,113.1%,14.83%,111.88%,173.24%,174.75%,179.69%,250.61%
2029,113.84%,120.3%,62.05%,88.49%,118.78%,97.38%,82.61%,87.43%,92.44%,98.99%,64.42%,64.84%,13.05%,38.77%,112.82%,-6.49%,81.88%,93.94%,13.01%,35.63%,77.83%,73.73%,93.17%,139.78%,130.1%,90.77%,148.2%,153.84%,69.67%,116.41%,3.73%,115.24%,172.41%,166.91%,188.02%,253.71%
2030,115.7%,122.11%,56.67%,88.15%,121.82%,97.38%,82.61%,89.72%,92.39%,98.99%,61.52%,62.13%,-0.48%,33.22%,116.61%,-27.93%,81.88%,94.73%,2.15%,23.0%,76.11%,71.45%,93.17%,144.06%,134.33%,90.03%,151.83%,159.64%,67.43%,119.72%,-7.37%,116.54%,171.58%,158.31%,196.35%,255.28%
2031,117.56%,123.92%,50.17%,87.81%,124.85%,97.38%,82.61%,90.37%,92.34%,98.99%,58.63%,59.42%,-14.97%,27.67%,120.4%,-50.19%,81.88%,95.6%,-8.44%,5.68%,74.39%,69.17%,93.17%,148.34%,138.07%,89.29%,155.66%,165.44%,65.19%,123.03%,-18.47%,119.5%,170.75%,151.25%,204.68%,255.82%
2032,119.42%,125.73%,43.6%,87.47%,127.89%,97.38%,82.61%,92.44%,92.29%,98.99%,55.74%,56.71%,-30.41%,22.12%,124.19%,-73.79%,81.88%,96.34%,-19.21%,-10.1%,72.67%,66.89%,93.17%,152.62%,142.11%,88.55%,159.35%,171.24%,62.95%,126.34%,-29.57%,121.13%,169.92%,147.57%,213.01%,255.73%
2033,121.27%,127.54%,36.32%,87.13%,130.93%,97.38%,82.61%,93.28%,92.24%,98.99%,52.85%,54.0%,-46.81%,16.56%,127.98%,-99.92%,81.88%,97.15%,-29.86%,-28.04%,70.95%,64.61%,93.17%,156.9%,146.1%,87.81%,163.13%,177.04%,60.71%,129.65%,-40.67%,123.83%,169.09%,148.21%,221.34%,255.31%
2034,123.13%,129.35%,28.45%,86.78%,133.96%,97.38%,82.61%,95.18%,92.19%,98.99%,49.96%,51.29%,-64.16%,11.01%,131.77%,-126.72%,81.88%,97.98%,-40.6%,-48.4%,69.23%,62.33%,93.17%,161.18%,149.97%,87.07%,166.86%,182.84%,58.47%,132.96%,-51.77%,125.67%,168.26%,152.96%,229.67%,254.78%
2035,124.99%,131.16%,20.25%,86.44%,137.0%,97.38%,82.61%,96.16%,92.14%,98.99%,47.07%,48.58%,-82.46%,5.46%,135.56%,-155.56%,81.88%,98.75%,-51.27%,-67.67%,67.51%,60.05%,93.17%,165.46%,154.0%,86.33%,170.62%,188.64%,56.23%,136.27%,-62.87%,128.2%,167.43%,160.53%,238.0%,254.26%
