sn,year,title,作者,DOI,study,location,longitude,latitude,elevation,MAT,MAP,habitat,substrate,substrate2,NVP,family,species,MWC,type
1,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2500,saturated
2,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2825,saturated
3,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,3435,saturated
4,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2845,saturated
5,2003,三峡库区三种林下地被物储水特性,"程金花,张洪江,史玉虎,程云,祁生林,何凡,潘磊",0.13287/j.1001-9332.2003.0403,3,长江三峡地区,116.331253,39.911146,NA,17.7,1100,terrestrial,terricolous,forestfloor,bryophytes,Funariaceae,Funaria hygrometrica,2838,saturated
6,2003,三峡库区三种林下地被物储水特性,"程金花,张洪江,史玉虎,程云,祁生林,何凡,潘磊",0.13287/j.1001-9332.2003.0403,3,长江三峡地区,116.331253,39.911146,NA,17.7,1100,terrestrial,terricolous,forestfloor,bryophytes,Funariaceae,Funaria hygrometrica,2423,saturated
7,2003,三峡库区三种林下地被物储水特性,"程金花,张洪江,史玉虎,程云,祁生林,何凡,潘磊",0.13287/j.1001-9332.2003.0403,3,长江三峡地区,116.331253,39.911146,NA,17.7,1100,terrestrial,terricolous,forestfloor,bryophytes,Pottiaceae,Anoectangium aestivum,3031,saturated
8,2003,三峡库区几种林下苔藓的保水功能,"张洪江,程金花, 史玉虎 ,祁生林,何凡,潘磊 ,程云",NA,25,长江三峡地区,110.95,30.83,382,NA,NA,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,570,saturated
9,2003,三峡库区几种林下苔藓的保水功能,"张洪江,程金花, 史玉虎 ,祁生林,何凡,潘磊 ,程云",NA,25,长江三峡地区,110.95,30.83,382,NA,NA,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,480,saturated
10,2003,三峡库区几种林下苔藓的保水功能,"张洪江,程金花, 史玉虎 ,祁生林,何凡,潘磊 ,程云",NA,25,长江三峡地区,110.95,30.83,382,NA,NA,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,610,saturated
11,2005,川西亚高山桦木林的林地水文效应,"张远东,刘世荣,马姜明,史作民,刘兴良",NA,4,四川省阿坝藏族羌族自治州理县米亚罗林区,105.58,34.4,2760,12.2,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,9450,saturated
12,2006,祁连山林区苔藓垂直分布特征与水文功能分析,"车宗玺,刘贤德,敬文茂,王顺利,罗龙发",0.13870/j.cnki.stbcxb.2006.06.018,5,甘肃省张掖市祁连山国家级自然保护区,100,38.4,2950,0.5,435.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,6194.4,saturated
13,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,7393,saturated
14,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,7096,saturated
15,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,5885,saturated
16,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2794,saturated
17,2009,川西亚高山针阔混交林与针叶纯林苔藓凋落物层持水性能研究,"郭伟,文维全,黄玉梅,张健,张丹桔,刘洋,刘旭,王伟",0.13870／j.cnki.stbcxb.2009.06.049,7,四川省阿坝州,102.95,31.33,3050,9,1100,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4792,saturated
18,2009,川西亚高山针阔混交林与针叶纯林苔藓凋落物层持水性能研究,"郭伟,文维全,黄玉梅,张健,张丹桔,刘洋,刘旭,王伟",0.13870／j.cnki.stbcxb.2009.06.049,7,四川省阿坝州,102.95,31.33,3050,9,1100,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4671.7,saturated
19,2009,川西亚高山林区不同土地利用与土地覆盖的地被物及土壤持水特征,"张远东 刘世荣 罗传文,张国斌,马姜明",NA,8,甘肃省张掖市祁连山国家级自然保护区,102.66,36.88,2760,0.5,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,750,saturated
