股票代码,统计日期,销售商品、提供劳务收到的现金,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出小计,投资活动产生的现金流量净额,偿还债务支付的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,净利润,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,财务费用,投资损失,现金的期末余额,现金的期初余额,间接法-现金及现金等价物净增加额
2,2015/6/30,75712394625,2973834029,78686228654,49387967873,3020992903,14162314590,18923309022,85494584388,-6808355735,1407167342,271076436.9,4937825145,-3530657803,10993516044,14422111513,-7544316387,-17882794400,61653319666,43770525266,6789481869,258810386.8,143285115.8,99727337.78,-915690544.6,43770525266,61653319666,-17882794400
2,2015/12/31,1.92E+11,19156763021,2.11E+11,1.30E+11,5046299996,25040071123,34953218156,1.95E+11,16046020692,3645666040,2063001338,24593147215,-20947481175,25028576388,40234246513,-5103910755,-9905698500,61653319666,51747621166,25949438026,490161230.4,129404784,477735809.6,-3561908084,51747621166,61653319666,-9905698500
2,2016/6/30,1.27E+11,14018750842,1.41E+11,76560264294,4497266304,20474063085,14039314811,1.16E+11,25797213428,4544410179,776032365,20071239987,-15526829807,17950037920,22255595151,8823436813,19159589800,51747621166,70907210966,7094630598,277351940,141672538.3,427124546.7,-1342402105,70907210966,51747621166,19159589800
2,2016/12/31,2.87E+11,26302677473,3.13E+11,1.78E+11,6689013466,33760312000,54351461300,2.73E+11,39566129022,6564766865,2146785575,49953817010,-43389050144,38826219711,58858935117,31296650601,27742393780,51747621166,79490014946,28350255481,708210271.1,440421827.6,1592067967,-5013835862,79490014946,51747621166,27742393780
19,2015/6/30,231581682.3,9049894.3,241572122.2,124449613.4,34380163.13,22788110.39,38040619.09,219658506,21913616.18,60613734.01,11998921.67,134998921.7,-74385187.66,40000000,40159000,-33859000,-86373233.51,266847778.4,180474544.9,2524806.56,11957927.05,3621835.57,201662.03,-630451.04,180474544.9,266847778.4,-86373233.51
19,2015/12/31,414424898.1,15838610.41,431429432.9,305049300.6,68761736.29,33720659,69860826.07,477392522,-45963089.09,225100233.1,34267963.43,264817963.4,-39717730.33,40000000,40159000,-33698769.08,-119333891.3,266847778.4,147513887.2,-42960551.91,23999350.4,7108702.82,299768.01,-535500.67,147513887.2,266847778.4,-119333891.3
19,2016/6/30,180368265.1,31164007.17,211714360.2,105153288.4,38530123.7,13663894.12,22769106.61,180116412.8,31597947.36,113583421.6,13638864.72,147132852,-33549430.36,50000000,50790854.16,-790774.97,-2614834.69,147513887.2,144899052.5,-19460289.84,10959250.11,3422961.19,663430.88,898654.15,144899052.5,147513887.2,-2614834.69
19,2016/12/31,376950459,58269021.81,435401568.7,211020152.1,74602147.23,36660085.62,51378615.62,373661000.6,61740568.12,310408558,32111042.9,179221053.2,131187504.8,50000000,50825895.83,17674183.36,211050355.7,147513887.2,358564242.8,90145526.08,25456839.31,7358093.06,1036025,-162493453.1,358564242.8,147513887.2,211050355.7
25,2015/6/30,166412700.8,21091520.19,187504221,70874644.66,25426536.32,9842550.96,47497606.35,153641338.3,33862882.7,80345957.53,58099932.49,413099932.5,-332753975,304995765.6,310097943.2,350100271.8,51209174.82,80045669.65,131254844.5,7308716.54,6583807.92,603480.29,5732121.82,-624390.1,131254844.5,80045669.65,51209174.82
25,2015/12/31,336791620.5,17297241.43,354088861.9,160383590.9,58345635.86,19126200.02,35550807.77,273406234.6,80682627.33,372580441.9,147978461.7,732978461.7,-360398019.8,327595765.6,361209488.4,298988726.6,19139041.28,80045669.65,99184710.93,42738043.55,13164743.45,101016.92,7017443.6,-20992313.67,99184710.93,80045669.65,19139041.28
