股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
2,2015/3/31,8894338157,8894338157,8086334073,5870110226,753890852,687244215,712851878.4,44343329.94,17893571.72,361818628.2,1169822712,38088163.77,23645754.76,1184265121,276238897.5,908026223.5,650232416.6,900773212.6,642979405.7
2,2015/6/30,50266797993,50266797993,42463554178,34960814799,4411735616,1548692386,1418226267,99727337.78,24357772.96,915690544.6,8718934359,98297119.41,40223780.82,8777007697,1987525828,6789481869,4846279065,6734634252,4782647708
2,2015/9/30,79596209997,79596209997,68723619496,56467158104,6923134689,2672575880,2264474094,341032590.2,55244138.43,1481107900,12353698402,205045684.6,64302235.88,12494441850,2955817830,9538624020,6854457908,9251315599,6581361556
2,2015/12/31,1.96E+11,1.96E+11,1.66E+11,1.38E+11,17980426847,4138273595,4745249793,477735809.6,495946081.4,3561908084,33122777303,855431507.2,175591190.7,33802617619,7853179593,25949438026,18119406249,25844716277,18008226471
2,2016/3/31,14611312020,14611312020,13349692013,9967696886,1265343206,726595796.4,1142819696,241815278.4,5421150.12,384980776.6,1646600784,56889576.73,16221764.51,1687268596,437445163,1249823433,833232885.8,1186215498,767202350.6
2,2016/6/30,74795294306,74795294306,66233091162,55117487906,6284562411,2045221098,2176466311,427124546.7,182228889.7,1342402105,9904605249,114506083.6,38768487.04,9980342846,2885712247,7094630598,5351309986,6932555776,5173752720
2,2016/9/30,1.17E+11,1.17E+11,1.04E+11,86003585978,10080222399,3327746604,3171476438,657045590.1,273594141.4,2246171626,15787300605,230509186.2,56637957.93,15961171833,4670918760,11290253073,8262381012,11157862086,8116765222
2,2016/12/31,2.40E+11,2.40E+11,2.06E+11,1.70E+11,21978754591,5160715904,6800561937,1592067967,1192790158,5013835862,39023778798,398311678.2,168478749.8,39253611726,10903356246,28350255481,21022606257,28311311326,20968280365
19,2015/3/31,59619056.32,59619056.32,72991223.63,50530236.75,374825.58,6473637.33,15901063.76,-262353.21,-26186.58,3208.44,-12450439.71,1809550.43,49812.21,-10690701.49,-124543.41,-10566158.08,-9528087.26,-10566158.08,-9528087.26
19,2015/6/30,163356143.3,163356143.3,165826500.4,105577753.8,9353461.16,16889715.14,34606106.08,-461784.95,-138750.75,630451.04,1336209.28,5923714.27,49812.21,7210111.34,4685304.78,2524806.56,5317533.95,2524806.56,5317533.95
19,2015/9/30,249534721.6,249534721.6,265714909.8,174875852.3,10269894.09,29382391.78,52665183.7,-1337297.15,-141114.94,632603.93,-15191529.07,6093862.15,56865.76,-9154532.68,3945022.75,-13099555.43,-8230223.94,-13099555.43,-8230223.94
19,2015/12/31,338224512.3,338224512.3,388803094.5,247443735.7,10810030.41,46050246.67,80515335.69,-1951620.6,5935366.64,535500.67,-48234424.41,7894927.66,85552.86,-40425049.61,2535502.3,-42960551.91,-35256169.1,-42960551.91,-35256169.1
19,2016/6/30,149155529.7,149155529.7,173217380.9,116893235,945881.4,20601283.18,34369699.17,213297.58,193984.48,-898654.15,-25809361.48,6218417.29,371090.74,-19962034.93,-501745.09,-19460289.84,-15099180.63,-19460289.84,-15099180.63
19,2016/9/30,226387555.7,226387555.7,266576543,179781605.8,1318785.85,31320003.48,54288084.87,-421863.74,289926.69,-1277310.22,-42343534.83,7791910.98,380374.91,-34931998.76,-355712.54,-34576286.22,-27559013.3,-34576286.22,-27559013.3
19,2016/12/31,273383643,273383643,341363913.3,204648621.4,1138024.68,44338389.32,86120689.47,-1182236.05,6300424.43,162493453.1,94177768.53,20473591.76,445282.09,114206078.2,24060552.12,90145526.08,96620658.92,90145526.08,96620658.92
25,2015/12/31,303726790.6,303726790.6,277820186.9,217992216.2,6189409.1,14718877.28,32881868.9,4343688.83,1694126.57,20992313.67,46898917.36,533675.86,139497.06,47293096.16,4555052.61,42738043.55,42768789.52,42738043.55,42768789.52
25,2016/12/31,324240841.9,324240841.9,297539255.6,229042849.6,8772047.77,16656674.49,42446751.49,-505960.97,1126893.21,5098993.57,31800579.85,100551.57,1415801.07,30485330.35,2867397.81,27617932.54,27193562.63,27617932.54,27193562.63
