股票代码,统计日期,货币资金,应收账款,预付账款,其他应收款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,应付账款,预收账款,应付职工薪酬,应交税费,其他应付款,流动负债合计,非流动负债合计,负债合计,实收资本（股本）,资本公积,盈余公积,归属于母公司所有者权益合计,所有者权益合计,负债及股东权益总计,流动资产/流动负债,有形资产/总资产
2,2015/3/31,38889714570,1614707134,37960034857,60925050603,3.37E+11,4.81E+11,3221433982,902277601.2,44841840582,5.26E+11,65715845569,2.06E+11,446980488.8,3930318312,44271290481,3.69E+11,40529113366,4.10E+11,11046108081,8554713726,26078775790,88877231658,1.16E+11,5.26E+11,1.302974359,0.920879835
2,2015/6/30,44612562239,1897732013,40103349404,64695190015,3.33E+11,4.90E+11,3767589119,953212984.1,46946109050,5.37E+11,63623926045,2.10E+11,485323493.3,3502479926,55219595233,3.79E+11,40170199400,4.19E+11,11048058100,8329106451,26078775790,87272694623,1.18E+11,5.37E+11,1.29296423,0.919583735
2,2015/9/30,42734555139,1508193169,53028449827,65906417198,3.51E+11,5.20E+11,4040163971,1004161194,50792117790,5.71E+11,76799528491,2.31E+11,462965233,3586942407,47131891350,4.02E+11,47583727471,4.50E+11,11049610300,8342369302,26078775790,88926075003,1.21E+11,5.71E+11,1.293263819,0.91809304
2,2015/12/31,53180381016,2510653270,39646972826,75485642961,3.68E+11,5.47E+11,4917479161,1044991088,64271191823,6.11E+11,91446458421,2.13E+11,2642657170,7373980495,62350224344,4.20E+11,54924123488,4.75E+11,11051612300,8174812610,28068766726,1.00E+11,1.36E+11,6.11E+11,1.30224729,0.90290505
2,2016/3/31,52784761697,1617864149,42767157889,78400394245,4.13E+11,5.90E+11,4783998227,1040902553,68957859908,6.59E+11,92043786892,2.51E+11,983041777.2,3709312839,70276025294,4.57E+11,63189952381,5.20E+11,11039152001,7839074507,28068766726,1.01E+11,1.39E+11,6.59E+11,1.29105137,0.902595308
2,2016/6/30,71867989238,2262389059,46142823293,80780087594,4.28E+11,6.35E+11,5176313991,1113584514,77409940916,7.12E+11,1.07E+11,2.78E+11,1068429262,4357659741,81331340999,5.10E+11,64265175643,5.74E+11,11039152001,8078755992,28068766726,97460727288,1.38E+11,7.12E+11,1.245219181,0.898591958
2,2016/9/30,75187017627,2504272008,49397992004,88271789559,4.47E+11,6.65E+11,5441606657,1101921585,90632833528,7.56E+11,1.19E+11,3.13E+11,906377585.8,4926609937,79199465587,5.53E+11,59237782015,6.12E+11,11039152001,8078546164,28068766726,1.00E+11,1.44E+11,7.56E+11,1.202724127,0.887302705
2,2016/12/31,87032118211,2075256824,50262540607,1.05E+11,4.67E+11,7.21E+11,6810793074,1260363652,1.09E+11,8.31E+11,1.38E+11,2.75E+11,3839926643,9553084094,1.07E+11,5.80E+11,88999157180,6.69E+11,11039152001,8268267782,32540767834,1.13E+11,1.62E+11,8.31E+11,1.243616054,0.876524405
19,2015/3/31,170845558.4,64826213.41,13005991.57,31670299.29,129453215.4,494151722.9,391602945.2,195155668.3,610349713.7,1104501437,26113632.8,4708920.74,6279597.28,15864597.89,46268073.85,102144005.3,15610259.32,117754264.6,301080184,518186429.7,49483448.58,961350131.7,986747172,1104501437,4.837794655,0.801949765
19,2015/6/30,180974544.9,58268507.85,25832695.42,29400814.07,137361701.8,503434372.9,387286572.1,193639251.2,604170350.5,1107604723,31072228.84,4086009.73,6397638.11,23326884.01,21523757.48,89315700.91,15825885.79,105141586.7,301080184,518186429.7,49483448.58,976195752.9,1002463137,1107604723,5.636571932,0.804186662
19,2015/9/30,161733848.4,80816164.41,44992269.56,30232993.75,136056386.9,487535097.5,381685192.9,191903430.7,608062922.7,1095598020,35627409.88,4222258.37,7493121.81,21445417.79,21959951.86,93657342.45,15101903.17,108759245.6,301080184,518186429.7,49483448.58,962647995,986838774.7,1095598020,5.205519234,0.793375193
19,2015/12/31,148013887.2,75948016.12,18601600.34,22019771.94,175822373.5,446043901.4,358418473.5,193057370.3,614414856,1060458757,24821587.58,3714591.93,12357984.32,21308373.62,23637606.15,88749326.34,14571422.03,103320748.4,301080184,518186660.6,49670863.23,935622280.8,957138009.1,1060458757,5.025884926,0.758598455
19,2016/3/31,124341959.4,62275180.25,11600761.42,26764021.09,192627888.2,481764449.7,353969482.2,192056611.9,608230533.1,1089994983,20500579.43,4631706.87,9443420.37,19842176,22410293.58,129737359,14474150.63,144211509.6,301080184,518186739.8,49670863.23,929439298.1,945783473.2,1089994983,3.713382587,0.766731907
19,2016/6/30,145399052.5,68740022.82,9341482.72,22161701.78,164387452.8,436720347.8,357206702.5,199348761.2,610591980.7,1047312328,19406017.3,4137758.58,8012313.98,17685277.49,45362209.13,97512759.22,13560398.23,111073157.5,451620276,367646647.8,49670863.23,920523179.3,936239171,1047312328,4.478596968,0.7580614
19,2016/9/30,122516126.8,68764553.52,16346249.09,24149719.56,185941453.6,424027171.3,365601455.9,197811721.7,618786621.7,1042813793,28235598.8,4832712.17,8005088.29,6015609.51,50713496.15,100711687.7,13478930.67,114190618.3,451620276,367646647.8,49670863.23,908063346.6,928623174.7,1042813793,4.210307474,0.757209612
19,2016/12/31,358564242.8,62582867.63,6321827.64,22643449.94,140951059.4,605614340.6,333013767.9,195678353.6,572929384.7,1178543725,15782288.29,2379824.13,16279706.84,26345138.53,46119690.25,114815830.8,13989331.66,128805162.4,451620276,367172017.8,54736482.14,1031768389,1049738563,1178543725,5.274658873,0.796430449
25,2015/3/31,700316175.3,2587464.06,6537868.43,8620054.97,20613656.84,738694894.3,140858294.2,53622493.82,684581346.2,1423276241,21885663.28,5715765.67,15206892.28,9076315.88,112764796.6,339552342.7,247442964.6,586995307.3,297281600,564192605.5,2952586.32,826188281,836280933.2,1423276241,2.175496386,0.617977848
25,2015/6/30,131254844.5,4102502.8,10169681.79,8202352.43,8390167.15,437265503.9,139731088.5,53320753.67,706709309.2,1143974813,21606693,4742719.34,14811315.29,9330311.03,119927946.7,264121894.3,36693842.06,300815736.4,297281600,564192605.5,2952586.32,833050618.8,843159076.6,1143974813,1.655544327,0.504378755
25,2015/9/30,127041585.9,3395519.89,27306408.92,4644548.96,8792343.7,391200082,137734990.3,53114888.52,739644979.7,1130845062,21980687.45,4846834.45,15206594.53,9098955.72,105004259.8,249817812,26848753.44,276666565.4,297281600,564192605.5,2952586.32,844095393.7,854178496.4,1130845062,1.565941511,0.467734343
25,2015/12/31,159184710.9,562051.31,6454769.4,11128001.89,16151336.61,359395148.7,136583565,52985273.37,809272778.8,1168667927,27417068.61,11460807.66,19639738.81,10043901.26,193797786.7,262359303,27720220.83,290079523.9,297281600,564192605.5,2952586.32,868169052.3,878588403.6,1168667927,1.369858604,0.424396616
25,2016/3/31,160752546.7,2686227.71,5853249.29,10685204.82,9828536.01,321825439.3,134603133.6,52669658.22,824308571.4,1146134011,23490306.91,4147623.49,19188524.06,9489018.24,177386892.5,233702365.2,27658877.32,261361242.5,297281600,564192605.5,2952586.32,874331209.8,884772768.2,1146134011,1.377073951,0.398233163
25,2016/6/30,190981593.1,1664778.74,7663519.57,11395983.87,9179418.55,331204968.5,132707486.3,54296001.28,836124496.3,1167329465,21507032.73,8747886.64,23766762.69,8901910.59,179682572,242606164.6,28165407.42,270771572,297281600,564192605.5,2952586.32,885917005,896557892.8,1167329465,1.365196012,0.397413471
25,2016/9/30,164058426.7,2371704.69,8228194.71,9967724.31,8054506.83,338200232,130839375.6,53967276.67,828581739.8,1166781972,21245494.85,8877019.81,21977131.78,8981217.39,182611185.4,243692049.3,18051444.6,261743493.9,297281600,564192605.5,2952586.32,894384392.2,905038477.9,1166781972,1.38781808,0.401994219
25,2016/12/31,218497640.1,113736.64,8436668.35,16586387.45,11038915.69,344969305.1,129226236.2,53739118.72,844031769.9,1189001075,23599227.33,11930493.02,27144631.18,10081678.6,126045854.5,248879711,31585027.8,280464738.8,297281600,564192605.5,2952586.32,895362615,908536336.2,1189001075,1.386088499,0.398818429
