日期,超过180秒工单数,3分钟内2个以上通话工单数,5分钟内2个以上通话工单数,51105950通话次数,51105951通话次数,51105952通话次数,51105953通话次数,51105954通话次数,51105955通话次数,51105956通话次数,51105957通话次数,51105958通话次数
2024-07-01,4,6,0,13,8,6,1,2,0,2,4,7
2024-07-02,3,4,0,19,16,7,2,2,6,7,5,11
2024-07-03,6,2,0,13,8,8,0,3,2,2,11,7
2024-07-04,8,14,6,28,28,15,0,8,1,4,10,1
2024-07-05,9,22,12,57,16,20,1,5,9,8,13,4
2024-07-06,3,12,6,37,22,14,5,7,3,6,12,8
2024-07-07,1,12,0,39,22,14,4,5,7,5,12,9
2024-07-08,2,14,0,19,15,15,0,3,5,2,8,22
2024-07-09,0,12,8,9,25,10,1,6,4,4,15,6
2024-07-10,4,6,0,17,5,6,3,4,1,4,17,8
2024-07-11,2,14,3,5,10,7,2,3,3,1,4,16
2024-07-12,1,13,7,6,3,13,1,8,0,6,5,5
2024-07-13,4,4,0,13,10,2,5,0,0,2,11,1
2024-07-14,1,0,0,5,8,4,2,1,0,4,5,2
2024-07-15,2,0,0,9,5,6,1,3,3,2,5,4
2024-07-16,1,6,0,10,9,4,2,6,2,1,1,4
2024-07-17,6,15,0,20,14,11,0,2,7,4,6,4
2024-07-18,6,20,6,23,10,10,2,3,2,4,17,9
2024-07-19,6,7,3,21,3,8,2,5,4,1,6,3
2024-07-20,0,8,0,15,8,7,1,1,4,6,11,0
2024-07-21,5,16,0,17,13,12,1,2,3,6,20,3
2024-07-22,7,16,6,24,7,5,5,3,2,8,4,8
2024-07-23,3,8,0,8,12,6,1,7,3,3,6,13
2024-07-24,1,3,3,8,0,5,1,1,1,7,10,5
2024-07-25,1,10,3,10,6,4,2,3,5,6,5,8
2024-07-26,0,11,0,8,10,13,1,1,0,3,7,12
2024-07-27,3,8,0,12,13,4,1,4,1,2,4,3
2024-07-28,2,4,0,5,10,6,3,4,3,3,5,4
2024-07-29,1,0,0,6,10,5,3,8,1,0,4,5
2024-07-30,4,6,0,7,12,7,1,3,3,2,2,6
2024-07-31,0,12,0,10,14,16,2,2,3,0,7,5
2024-08-01,5,27,9,20,19,13,0,3,6,6,14,5
2024-08-02,7,20,9,40,14,17,0,7,4,7,13,6
2024-08-03,4,12,0,14,19,1,4,7,1,8,7,8
