uid,time,content,v2_up_count
2566851758,0,锁锁在逗小米哈哈哈！！,4
457555309,0,来啦来啦！,1
1279200639,714,第一,2
2580365722,0,十三能齐就好了,
3271623943,100,第一第一,1
4212539153,0,第一,
824058999,1000,来啦来啦,3
497792935,1260,第一,71
762949903,1000,我才是第一,
1349106547,1000,第一！！！,3
2924872953,1000,来惹,
319606184,1000,小宝姐姐来了,
1281167835,2948,第一第一,45
2531408885,2000,第一,4
566034922,2000,来了来了,2
1505430667,2000,来了,4
405518697,2051,第一,1
3724690826,2000,来了来了,1
1869810615,3253,来了来了,7
4265654020,3000,第二,2
1077822288,3000,第一,2
674486136,3000,第一第一,2
2279673323,3004,第一,1
2415628350,3000,来啦 下饭综艺,1
4131182626,4000,来啦,4
4005169026,4000,来了来了,3
1275421582,4672,来了,2
1432237818,4321,苏醒，我来了哦,
429315038,4000,第一,2
1464305307,4102,来啦,1
960000123,5013,第一,14
2186499124,5569,第一,5
3807661456,5051,来了来了,4
703589319,5943,开心追剧,2
2958579857,5187,第一第一,1
4005169026,5000,小米小宝姐姐来啦,
2957626624,6941,来啦,3
566034922,6000,第一,1
2954972666,6000,第一,1
3047861436,6007,第一,
1605125895,6000,第一,1
3027537404,6191,一,
3680173587,7000,来啦来啦,3
2699923249,7766,第一,5
3017379551,7000,来了,2
3051423100,7790,时差好评,1
120659351,7000,第一,2
3255429054,7123,我来了,2
4006640181,8927,来啦来啦,3
1997403821,8000,来了,2
500960629,8891,来啦 下饭综艺,
2289054602,8632,来了来了,1
3479612104,8146,第一第一,2
2362214158,8241,我来啦！！！最后一期了舍不得,
1622901561,9789,来了来了,2
2888698351,9250,哈哈哈,9
2066032816,9998,第一,3
2464108304,9816,来了,1
2020828502,9531,来了,2
1349106547,9000,12点准时,
1435194087,10591,来了来了,3
2540044361,10000,第一666,1
1464305307,10299,小宝我来了,1
3000255766,10065,来了来了,1
2783594280,10000,"Lai la!!!!,!",
1711229057,10125,第一,
3532718053,11019,大结局了不舍的,2
801405445,11000,第一第一 ,3
3661299874,11040,来了,1
221800637,11334,来了来了，终于等到了哈哈哈,1
2855599459,11096,啊宝宝我来了,
961289595,11389,阿宝姐姐来了,
3947552116,12000,来了朋友们,2
2165741042,12000,来了,2
2382018983,12000,啊宝宝啊宝宝,
3981090647,12792,来了来了,2
3796349745,12013,来了来了,1
3676084176,12164,来了，好舍不得啊,
219521983,13049,来啦来啦,1
2491541955,13255,来啦来啦,3
1266464729,13057,舍不得呜呜,1
2611696419,13255,来啦来啦,1
259621190,13168,来啦来啦,
456776865,13303,第一第一！！！,
835390095,14247,来了来了,2
2695448593,14239,来了来了～,2
2121126698,14452,看完13期就来了。,
45082739,14454,第一,1
3072918747,14757,来啦来啦,
3562545720,14345,有人吗,
2421920511,15123,第一 嗨害嗨,1
1035769569,15524,来啦来啦,6
393492386,15740,来了,1
3608162743,15000,第一 ,1
3552546147,15035,来啦,
90619208,15000,我来了,
1932146084,16353,第一,12
363013259,16466,来啦,2
3279479467,16832,来啦来啦，真的好好看,1
45082739,16676,为自己的蹲点点个赞,
2136330895,16659,来了来了,1
1424983317,16000,哭 舍不得肖杰一家,
4029014228,17012,来了来了,3
3437096546,17719,来了来了,3
1530780243,17467,来啦来啦,1
2441162301,17671,飞飞,2
3457394191,17000,不舍,
3567581499,17295,来了来了,1
1690970111,18000,来啦,2
3893456681,18031,第一季的画风真的，看完第二季返回来看，有点简陋啊,
1730098745,18555,来了来了,2
969069429,18000,虽然不是第一,1
1917153437,18105,第一第一 ,
1925168541,18278,来了来了,
1383743231,19492,来了来了,2
3255601965,19973,时长好评,1
334396762,19922,第一,1
1844783601,19463,芜湖~,
1226714618,19105,我来了我来了！允儿宝贝,
2567596947,19308,来啦！,1
3490688895,20643,来咯,1
1233126663,20821,等到了,1
3562545720,20261,8 月9号12点,1
1078905109,20000,来了来了,
1748008323,20000,来了,1
3608162743,20000,最后一期 舍不得,
146252378,21102,第一,4
145238257,21365,来啦来啦,3
1804381849,21184,杰哥锁锁我来了,1
1226714618,21249,允儿宝宝小宝我来啦,
1031394591,21615,来了,2
1339150301,21434,不是收官了吗？,
1900911111,22025,小宝我来了,1
2525056570,22152,来了来了,2
2853054557,22730,杰哥，街舞5要播出了，期待你,
4271992820,22000,来了,
437513667,23000,来了来了,3
1497998096,23000,最后一期了，不舍,1
969069429,23000,好难啊,2
120659351,23000,来了来了,2
2795897819,23847,小袁打卡咯,1
1198983059,23280,来了来了,
1917153437,24124,来了,3
184518023,24215,来啦来啦,1
3202945486,24000,最后一期留名一下～,1
828695136,24327,我来了,2
133225401,24000,舍不得哟！宝贝们,
877116481,24000,我来了！,1
2500150795,25209,来了来了,2
2038434784,25250,打卡最后一期！！,1
920959466,25622,来了来了,1
3506145245,25459,来了,
289030087,25000,小宝姐姐来啦,
3731227385,26324,来了,3
92178319,26561,最后一期,1
2135852045,26016,来啦,1
1537819838,26574,来了来了,
1398969259,26000,最后一期了么,
3564490619,26369,来了,
4161383916,27376,来了来了,3
1078592757,27000,收官了舍不得,
3760380499,27587,来了,1
2408139252,27859,来了,
2980558872,28205,哭 舍不得肖杰一家,
3285045311,28436,来了来了,2
2558811079,28158,我来了,
3423360064,28867,来咯,
3768370928,28000,还以为没有了呜呜呜,
2523792274,28694,来辽,
316559457,29752,来了来了,1
1933301965,29000,宝哥 我来了,1
2542167872,29688,阿米阿宝姐姐来啦,1
3938447545,29656,这时长可以，满意~,
690743900,29926,要结束了舍不得呜呜呜,1
1191738364,29885,小宝姐姐来啦,
51097773,30000,来啦！,4
812175775,30884,第一第一,1
3316470070,30723,我来了,
1933816518,30261,舍不得😭,
3305695260,30005,来看小宝了,
1540268297,30282,舍不得允儿qwq,
3539028074,31837,终于来了,2
3831467481,31000,希望他们有第二季都太可爱了,
32859579,31396,来啦,2
948119198,31819,最后一集了😀,
2279673323,31410,来略,
3577554582,32927,我来了,1
3014493688,32483,来啦,2
3878033659,32228,来啦,1
3074947270,32269,来啦,
1446203499,32148,来了来了,
893870433,32503,第一,
