uid,time,content,v2_up_count
134559065,0,来听听力了,
3300822029,924,来啦来啦,
1061797839,632,来啦！！！‼️‼️‼️‼️‼️,2
1655122793,981,第一,
648996836,100,第一,
4124918180,5355,芜湖,
1826839373,5000,吃货可乐哈哈哈哈,
2146191178,5000,来啦,
648712938,7000,第一第一,
1655122793,9037,来来来啦,
561747683,20000,墨西哥 我来喽,
1601404755,20244,喜欢武艺一家,
711185905,23000,第一,
110860784,25000,可乐可乐来啦,
467943957,33000,第1⃣️,1
414108922,50943,第一,1
1865496746,51895,第一,2
1231866795,51000,魏晨魏晨,3
467943957,51000,第一,2
1428176694,52910,第一,1
2798184465,53097,来了第一,6
3147352113,53926,不准时很好，爱妃，赏！！,2
2805478907,53856,第一,2
2670899417,53901,第一,
3934808147,54685,喜欢大葱家,4
3623190410,54871,来了来了,2
2777993500,54000,来了,1
3387523680,54136,第一,1
3479402397,54000,第一,
1884076525,55929,第一个,2
2817658790,55588,来啦,
3883192526,56000,墨汐哥 我来了,2
1110560340,56997,第一第一,2
159312450,56000,来了,
3412031444,57000,开始喽,2
4135793329,57055,按时追集,4
3784566311,57000,来啦 第一☝️,1
3496591868,58000,来了来了,1
3979333498,58827,第一,1
3523878763,58000,来看了,1
3025847862,58000,来了,
1842461048,59841,第一,2
183600496,59000,第二第二,1
220419434,59596,来了！！！！,
3687746818,59000,来了,1
90606789,59000,第一,
1542727260,59000,第一,
1535063810,60364,来了,
3790198072,62292,来了,1
1992479823,62393,来罗,
371415641,63000,第一,2
2310461951,63000,東北吳彥祖,1
4020640316,63157,来看墨西哥了,5
1689114250,64902,提前！,
2973123989,65817,墨西哥墨西哥,5
4138512538,65039,来咯,
3450992819,66273,来了来了,3
51196921,66294,弟弟我来了！,
1535063810,67107,前十,
2195172575,67053,今天的白雪好美啊啊啊,3
2481128862,67000,第一,
4020614599,68011,来看墨汐和墨一,
3368670322,68000,第三,
2382364730,69206,这时长,1
2854058699,69990,来了来了,
1565598570,70051,来了。！。！。！,2
1110909804,70306,弟弟我来了,1
159312450,71000,重庆的来了,5
1438021648,71945,来喽,
3592912264,71375,来了来了,
156961278,71283,来了,
41758936,72887,第一,1
3434081082,72051,第一,1
3516941744,73410,墨一墨汐我宣你,4
2713180888,73021,可乐宝宝姐姐来啦,3
2044589196,73943,第一,
952346785,74920,来了弟弟,2
171288488,75630,爱他美卓越,2
1979849821,75000,白雪这样好美哦,2
1778688874,75970,我来了,2
3052572253,75545,第一,
3486603821,76207,第一第一,2
537510230,76954,来啦,
171288488,77031,来了来了,1
3323573768,77000,好准时,1
2663005995,78000,第一,
604691186,79000,弟弟,3
2158358770,79000,墨汐墨汐,3
3961019574,80000,喜欢弟弟,2
2642935600,82528,超级喜欢弟弟,7
4151586975,83000,墨汐ee来啦,6
462643466,83980,莫西莫西,1
771010851,84800,来了,
2764403761,85079,姐姐弟弟我来啦,7
1557485214,85983,喜欢爷爷,
1192710156,87000,来看姐弟俩,3
936953027,87394,弟弟姐姐来了,2
3179653995,87909,第一,
3885305623,88000,最爱这家,7
3621067568,88134,来了,1
863494822,90000,墨西哥我来啦,7
2050957559,91293,墨汐宝宝我来啦,6
3257332710,91000,晨晨我来了,5
1991662972,91000,墨汐姐来了,3
2904754383,91000,来了啊啊啊啊啊,3
1061797839,92652,咋滴提早了这么多！,1
3756578848,95891,墨西哥，姐姐来啦,5
1171324029,97000,来看魏晨和宝宝们！,1
2117090917,99015,好喜欢墨兮,1
3179653995,100478,准时打卡,2
603580828,101281,我来啦弟弟,3
3559001841,103747,墨汐我来了,
3179653995,105791,祝大家端午安康,7
2347043169,105000,来了～,4
1809596229,105806,喜欢看这一家啊,2
1068409437,107000,不是离婚了吗，相处融洽,72
1469624353,112856,墨汐我来了来了哒哒,3
171288488,112066,来看魏晨来看宝宝,
171288488,113483,晨晨我来了,2
2999931479,113286,弟弟，姐姐来了,3
347072027,113210,来了,2
3335599453,115813,来了,
3552638140,117134,墨汐我来了,1
4023908248,121448,第一第一,
392126082,123329,墨西哥我来了~,5
1459594494,125711,好喜欢爸爸当家,3
78444442,127092,人好少,1
171288488,130033,爱他美卓傲上分,
462643466,135623,喜欢他们家,3
1402919961,137683,来了 墨汐宝宝,3
520183569,139947,第一,
171288488,140717,宝宝和魏晨一起看，嘉宾也看,1
219510965,141441,感觉爷爷在无措得挠头,676
3357745102,142148,我来啦,
4289843836,144218,莫西哥我来了,7
686275529,144000,第一,1
2413487726,145201,一切都是最好的巧合。,10
2829356502,145313,八喜好逗,
1921063598,147008,不会又要彩排了吧哈哈哈哈哈,4
1665721098,147875,喜欢不准时，第一第一,2
948906107,148162,录节目就都见面了,10
1713996677,149000,爷爷发型好搞笑,3
171288488,150735,第一,
7550432,152793,第一,
2376083786,156799,墨一墨汐我来了,3
2712918793,157012,来看墨汐宝贝,4
1785970831,157000,第一,
957011127,158000,第一☝️,
1506075639,159581,墨汐,
3938967589,160000,好晕的画面,198
348999071,160000,四年的,1
771281295,162258,来啦,2
3425428288,166013,大葱确实厉害,104
2302068117,166000,不是离婚了,
1506075639,167452,圣诞爷爷,3
4083773981,167000,弟弟我来啦,
2270052995,168000,喜欢,1
2064843594,171000,感觉爷爷没喜欢这个惊喜,7
3423243921,173000,还以为就我晕,6
1712330314,173237,幼儿园老师圣体,5
2263923624,174108,第一,
585835767,175000,看来我是第一,1
2714449098,176000,爷爷真是一点不帮忙啊,5
3386409712,177446,眼晕,1
3037979970,178694,爷爷长得好像肯爷爷,
115246364,178000,英语听力,
2270570753,181000,这个转场是真晕,6
486104737,185803,这画面过得太快了、眼花啊！！！,187
1027468125,185000,第一,2
1745333099,188847,爷爷72了已经在尽力带小孩了,6
911933619,188000,我以为就我晕。晃的眼睛疼,5
917021500,189000,爷爷70岁的人让帮忙？,87
1820122933,191000,爷爷都多大年纪了，还让帮忙？,8
4287759467,194000,爷爷70岁了，年龄大腰不好,5
3666865926,196753,？？你会要长辈帮你收拾吗？,284
2802113260,198995,这英式英语,8
1317673307,200000,带大葱去长沙金色印象按摩,5
3380386399,200231,爷爷膝盖疼啊,3
1006665809,205214,来啦,
2300111300,211000,好喜欢爷爷啊,340
4272727995,214000,爸爸好爱大葱,318
3822720433,215000,真好,
2757949715,216018,爷爷帮忙看住孩子们没危险就很好了,26
2929493992,216000,爸爸心疼大葱了，在爸爸眼里，你永远是孩子～,1307
3783939899,216640,牛！！！！,3
1000090254,216000,大聪哥爸爸好好,2
3223437471,217375,在爷爷眼里爸爸依旧是需要照顾的孩子,26
3092507577,218595,英式英语真的！太好听了,1
3398494041,218000,我真哭了,1
2962869614,224011,好暖心,4
3786619567,225434,爷爷的眼里全是儿子,11
1724317820,226123,但姐姐弟弟已经算很乖了,3
2929493992,226000,大葱爸爸，你很棒～把两个宝宝和家照顾的那么好,314
2300111300,226000,想我的爷爷了,3
115246364,227000,爸爸还是最爱他,214
462643466,236316,爷爷像圣诞老人,6
422983108,237154,好焦虑啊,
4083469552,238663,好喜欢爷爷,1
2848631690,242000,英语好舒服,1
38181621,242216,自从爷爷来了之后爸爸的语速提高了好多。,347
4101699050,246002,好像在听我那没过的英语听力题。,139
1304884720,246002,好像在听我那没过的英语听力题。,13
4034909364,250152,父子很像,7
262794988,250000,来了,2
1557485214,250256,爷爷好好,
1978770733,251530,超爱听他们讲英语,7
3420368003,251172,這英音,3
3380126547,252480,英腔真的好好听,15
3111332579,252628,好喜欢爷爷的发音啊,3
2903140679,253608,来咯来咯,3
1426480457,253000,好喜欢听他父子俩聊天,142
291185505,257000,带孩子真的无论男女都崩溃,200
2020063584,258094,就像谢依霖说过幸福但不快乐了,5
1047171198,259117,爷爷好爱永聪,14
3458493168,260000,墨西哥稳定发挥,172
3062217014,260733,哈哈哈哈哈弟弟好可爱,1
2764403761,261005,最爱的永远先是自己的孩子,356
4043123228,262000,哈哈哈哈弟弟,4
3197603105,263414,想要爷爷录听力 爱听,10
1290829952,263834,墨汐全是黑历史😂😂😂,2
3591768781,267000,弟弟的裤子哈哈哈哈哈哈哈哈哈,341
2504313208,272981,弟弟好可爱,9
2399027187,275562,怎么裤子老不合身,11
1014654048,279341,来了,1
1014654048,283516,可爱的弟弟乖巧的姐姐辛苦的爸爸,245
3209406624,286166,弟弟只有内裤是合身的,30
1719021790,289739,竟然主动要求穿裤子了,8
1525397871,291204,第一,1
2504313208,293873,第一,
952802060,298173,带小孩真的累，这两个小孩还算非常好带的,75
1620755413,298299,哈哈哈打起来,9
3205812364,302480,永聪眼睛里全都是红血丝,1
5436082,302534,大葱真的很好了,4
1670259215,302000,好喜欢弟弟和ye ye,
2929493992,303000,爷爷需要一个翻译器，能听懂两孩子的话，相处的会更好,271
3055321316,305750,好好听的发音,4
2764403761,308866,爷爷很心疼爸爸,720
1330829505,313278,第一,1
2300111300,314000,爷爷心疼永聪了,10
1426480457,317000,爷爷心疼永聪 ,159
4289540949,321000,爷爷的英语真的好舒服,9
3339256694,321896,就想看墨一和弟弟,7
4289540949,325000,弟弟超级可爱,1
73748366,325048,墨西哥同款小风扇耶,1
1047171198,325582,爷爷要带小孩了,10
2182764922,327000,哈哈，爷爷好可爱,1
3339256694,332618,爷爷也可爱,101
1968663450,338865,爷爷太搞笑,440
1494924677,346269,太搞笑了爷爷,252
233584672,348000,可爱,1
1494924677,349756,好喜欢爷爷好可爱,3
1049180263,351821,说得很好了,4
38181621,357483,乱教哈哈哈哈,214
609739024,358903,姐姐帮忙带爷爷哈哈哈哈,11
4189664527,361903,弟弟聪明,113
2427492605,361681,爷爷好可爱,2
233584672,363000,墨西哥太可爱啦,580
3425428288,367795,墨汐哥聪明的,336
1304884720,367795,墨汐哥聪明的,7
2764403761,369939,好聪明,5
4189664527,370429,墨一宝宝好厉害呀小老师,267
3570112027,370000,好可爱墨西哥,3
1866617915,371331,墨西哥太可爱啦,4
4134403033,372091,弟弟好聪明,8
